batch,sample,elapsed_s,S1_Bx,S1_By,S1_Bz,S2_Bx,S2_By,S2_Bz
0,116,3.878562,-0.196000,0.098000,0.000000,0.196000,0.098000,0.000000
0,117,3.912067,-0.196000,0.196000,-0.098000,0.098000,0.098000,0.000000
0,118,3.945452,0.000000,0.098000,-0.098000,0.000000,0.098000,0.000000
0,119,3.978823,-0.294000,0.196000,0.098000,0.196000,0.098000,0.000000
0,120,4.012220,-0.196000,0.098000,0.000000,-0.098000,0.196000,0.000000
0,121,4.045616,0.000000,0.196000,-0.098000,-0.098000,0.196000,0.000000
0,122,4.079019,0.098000,0.196000,0.098000,0.098000,0.196000,-0.098000
0,123,4.112458,-0.098000,0.098000,0.098000,0.196000,0.000000,0.000000
0,124,4.145860,0.098000,-0.098000,-0.196000,0.098000,0.000000,0.000000
0,125,4.179258,0.098000,0.000000,-0.098000,0.196000,0.000000,0.000000
0,126,4.212654,0.196000,0.294000,0.000000,0.196000,0.000000,0.000000
0,127,4.246043,-0.098000,0.000000,0.196000,0.000000,0.000000,-0.098000
1,0,4.779893,0.000000,0.098000,-0.098000,0.000000,0.196000,0.000000
1,1,4.813370,-0.098000,0.196000,-0.098000,0.098000,0.196000,0.000000
1,2,4.846800,0.098000,0.294000,-0.098000,0.000000,0.196000,0.098000
1,3,4.880226,-0.098000,0.196000,0.000000,0.196000,-0.098000,0.196000
1,4,4.913727,-0.098000,0.098000,-0.294000,0.196000,0.098000,-0.098000
1,5,4.947122,-0.098000,0.098000,-0.098000,0.000000,0.098000,0.000000
1,6,4.980617,0.000000,0.098000,0.098000,0.196000,-0.098000,-0.098000
1,7,5.014028,-0.098000,0.000000,0.000000,0.098000,-0.098000,0.000000
1,8,5.047417,0.000000,0.098000,0.000000,0.000000,0.000000,0.000000
1,9,5.080813,0.000000,0.196000,0.000000,0.098000,-0.098000,0.098000
1,10,5.114236,0.000000,0.098000,0.000000,-0.098000,0.000000,0.000000
1,11,5.147627,0.000000,0.098000,0.000000,0.000000,0.098000,0.000000
1,12,5.181021,0.000000,0.000000,0.098000,0.098000,0.294000,0.000000
1,13,5.214418,0.196000,0.196000,-0.098000,0.098000,0.098000,-0.098000
1,14,5.247804,0.098000,0.196000,-0.098000,0.196000,0.294000,0.000000
1,15,5.281217,-0.392000,0.000000,-0.196000,0.392000,0.000000,-0.098000
1,16,5.314673,-0.098000,0.196000,0.098000,0.098000,0.196000,0.000000
1,17,5.348134,0.000000,0.098000,-0.196000,0.098000,0.000000,0.000000
