pose_id,session_id,recorded_at_utc,yaw_deg,pitch_deg,roll_deg,yaw_raw_deg,yaw0_deg,yaw_stddev_deg,pitch_stddev_deg,roll_stddev_deg,imu_samples,magnetic_samples,S1_Bx_raw_mT,S1_By_raw_mT,S1_Bz_raw_mT,S2_Bx_raw_mT,S2_By_raw_mT,S2_Bz_raw_mT,S1_Bx_stddev_mT,S1_By_stddev_mT,S1_Bz_stddev_mT,S2_Bx_stddev_mT,S2_By_stddev_mT,S2_Bz_stddev_mT,S1_Bx_corrected_mT,S1_By_corrected_mT,S1_Bz_corrected_mT,S2_Bx_corrected_mT,S2_By_corrected_mT,S2_Bz_corrected_mT,yaw_imu_original_deg,heading_error_estimate_deg,yaw_model_frame_deg,dial_frame_offset_applied_deg
221,cal-20260717T104800Z,2026-07-17T11:35:33.874059+00:00,-36.343796,-5.509564,5.892929,-29.958530,0.325617,0.001950,0.020145,0.010977,217,32,-2.134562,-3.739313,1.375063,-0.551250,2.376500,-0.851375,0.116047,0.099908,0.120628,0.092302,0.111321,0.084183,-2.078417,-3.816641,1.417682,-0.629854,2.307083,-0.825854,-30.284147,-0.677761,-30.961908,5.381888050930
222,cal-20260717T104800Z,2026-07-17T11:35:40.204355+00:00,-47.111211,-5.408058,6.036456,-40.770566,0.325617,0.018680,0.032902,0.046202,211,32,-2.483687,-3.178875,1.102500,-0.324625,2.462250,-0.921813,0.128404,0.119216,0.121946,0.094582,0.092302,0.095953,-2.427542,-3.256203,1.145120,-0.403229,2.392833,-0.896292,-41.096183,-0.633140,-41.729323,5.381888050930
223,cal-20260717T104800Z,2026-07-17T11:35:47.376196+00:00,-56.629711,-5.336841,6.160258,-50.339618,0.325617,0.002973,0.004190,0.003394,210,32,-2.682750,-2.517375,0.802375,-0.076563,2.584750,-0.976938,0.133469,0.115252,0.125544,0.092250,0.110623,0.107019,-2.626604,-2.594703,0.844995,-0.155167,2.515333,-0.951417,-50.665235,-0.582588,-51.247823,5.381888050930
224,cal-20260717T104800Z,2026-07-17T11:35:54.433551+00:00,-67.136445,-5.166121,6.178533,-60.896098,0.325617,0.003711,0.002597,0.003343,210,32,-2.869563,-1.678250,0.486937,0.159250,2.569438,-0.986125,0.141325,0.128743,0.068099,0.101875,0.101827,0.102444,-2.813417,-1.755578,0.529557,0.080646,2.500021,-0.960604,-61.221715,-0.532842,-61.754557,5.381888050930
225,cal-20260717T104800Z,2026-07-17T11:36:29.557416+00:00,55.070320,-5.462378,-0.374597,61.063087,0.325617,0.019813,0.003907,0.008171,218,32,2.419375,-2.976750,1.240312,-1.601687,-1.111687,0.483875,0.125544,0.107786,0.115713,0.115713,0.088391,0.074416,2.475521,-3.054078,1.282932,-1.680292,-1.181104,0.509396,60.737470,-0.285262,60.452208,5.381888050930
226,cal-20260717T104800Z,2026-07-17T11:36:35.886093+00:00,45.317851,-5.505331,-0.362052,51.266009,0.325617,0.015810,0.010195,0.004182,211,32,2.048812,-3.757687,1.519000,-1.690500,-0.609437,0.232750,0.125351,0.120949,0.105608,0.126925,0.095549,0.116089,2.104958,-3.835016,1.561620,-1.769104,-0.678854,0.258271,50.940392,-0.240653,50.699739,5.381888050930
227,cal-20260717T104800Z,2026-07-17T11:36:41.758009+00:00,34.975871,-5.496665,-0.275236,40.882639,0.325617,0.003925,0.004675,0.002146,210,32,1.617000,-4.449813,1.745625,-1.684375,-0.024500,0.042875,0.105608,0.131385,0.154326,0.087786,0.099568,0.092929,1.673146,-4.527141,1.788245,-1.762979,-0.093917,0.068396,40.557022,-0.199263,40.357759,5.381888050930
228,cal-20260717T104800Z,2026-07-17T11:36:48.263540+00:00,25.479738,-5.467599,-0.270120,31.340651,0.325617,0.013648,0.009954,0.007856,217,32,1.151500,-4.912250,1.960000,-1.632313,0.480812,-0.168437,0.119378,0.092302,0.102632,0.110228,0.106657,0.114704,1.207646,-4.989578,2.002620,-1.710917,0.411396,-0.142917,31.015034,-0.153408,30.861626,5.381888050930
229,cal-20260717T104800Z,2026-07-17T11:36:55.419509+00:00,14.744879,-5.502561,-0.162370,20.555351,0.325617,0.003946,0.008170,0.002255,210,32,0.633938,-5.273625,2.116188,-1.494500,1.074938,-0.373625,0.119337,0.097802,0.102207,0.086229,0.112660,0.080419,0.690083,-5.350953,2.158807,-1.573104,1.005521,-0.348104,20.229734,-0.102967,20.126767,5.381888050930
230,cal-20260717T104800Z,2026-07-17T11:37:02.001768+00:00,4.884939,-5.524943,-0.101539,10.649014,0.325617,0.003658,0.001774,0.002803,218,32,0.177625,-5.552313,2.165188,-1.292375,1.561875,-0.569625,0.135055,0.104456,0.125351,0.109744,0.092929,0.094582,0.233771,-5.629641,2.207807,-1.370979,1.492458,-0.544104,10.323397,-0.056570,10.266827,5.381888050930
231,cal-20260717T104800Z,2026-07-17T11:37:10.069457+00:00,-5.691044,-5.623725,-0.022679,0.016164,0.325617,0.001491,0.007888,0.006870,211,32,-0.364437,-5.631938,2.152938,-1.041250,1.960000,-0.771750,0.134588,0.108457,0.091406,0.085326,0.114070,0.088882,-0.308292,-5.709266,2.195557,-1.119854,1.890583,-0.746229,-0.309453,0.000297,-0.309156,5.381888050930
232,cal-20260717T104800Z,2026-07-17T11:37:15.580820+00:00,-15.961002,-5.695999,0.070496,-10.292642,0.325617,0.001647,0.007594,0.007202,218,32,-0.912625,-5.515563,2.162125,-0.808500,2.309125,-0.833000,0.130386,0.114704,0.096205,0.086229,0.082323,0.099568,-0.856479,-5.592891,2.204745,-0.887104,2.239708,-0.807479,-10.618259,0.039145,-10.579114,5.381888050930
233,cal-20260717T104800Z,2026-07-17T11:37:21.786037+00:00,-25.682631,-5.712019,0.191465,-20.058010,0.325617,0.004786,0.013900,0.005443,210,32,-1.381188,-5.359375,2.021250,-0.474687,2.575563,-0.970812,0.127799,0.123052,0.116089,0.105928,0.111971,0.087510,-1.325042,-5.436703,2.063870,-0.553292,2.506146,-0.945292,-20.383627,0.082884,-20.300743,5.381888050930
