pose_id,yaw_truth,pitch_truth,roll_truth,B1x,B1y,B1z,B2x,B2y,B2z,temp_C
104,-100.671,-0.512,-6.021,-3.2708,0.5084,0.0061,2.1621,2.4929,-0.7901,
105,-100.170,-6.396,6.208,-2.6705,1.9294,-0.9310,1.0351,1.8253,-0.6982,
106,-100.506,-6.189,-0.684,-3.5954,1.8130,-0.8269,1.3904,1.7824,-0.6738,
107,-100.356,-6.143,-6.576,-4.5937,1.0964,-0.2328,1.7946,1.7640,-0.6064,
108,-120.426,6.815,6.066,-1.5986,1.7518,-0.7289,1.6844,2.2662,-0.9555,
109,-120.502,6.475,0.457,-1.8620,1.7762,-0.6309,2.3581,2.3214,-0.9494,
110,-120.495,6.015,-6.710,-2.4561,1.5741,-0.4226,3.2095,2.0213,-0.5574,
111,-120.884,-0.222,6.561,-1.6109,2.5786,-1.1025,1.5986,1.5558,-0.6248,
112,-120.589,0.009,-0.974,-2.4500,2.6521,-1.1025,2.0090,1.4149,-0.5329,
113,-120.576,-0.740,-6.707,-3.2952,2.6521,-0.8820,2.3581,1.1699,-0.3246,
114,-120.814,-6.121,6.062,-1.7273,3.6689,-1.6231,1.3536,1.1454,-0.4961,
115,-120.775,-6.243,0.126,-2.5970,4.1344,-1.6721,1.5006,0.9800,-0.3491,
116,-120.238,-6.246,-6.359,-4.1160,4.2201,-1.3291,1.7946,0.7656,-0.1776,
