pose_index,pose,sample,elapsed_s,S1_Bx,S1_By,S1_Bz,S2_Bx,S2_By,S2_Bz,S1_attempts,S1_frame_counter,S1_registers_hex,S2_attempts,S2_frame_counter,S2_registers_hex
0,home,58,7.023218,0.196000,-4.018000,1.666000,-1.862000,2.352000,-0.686000,1,2,00fd0118270155830800,1,2,fe01ff18d80959830400
0,home,59,7.056612,0.196000,-4.116000,1.764000,-1.666000,2.058000,-0.686000,1,3,00fd011c260257830800,1,3,fe01ff1cf5095a830400
0,home,60,7.090044,0.196000,-3.920000,1.666000,-1.666000,2.352000,-0.784000,1,0,00fd0110280152830800,1,0,fe01ff10f80859830400
0,home,61,7.123480,0.294000,-4.018000,1.764000,-1.764000,2.352000,-0.686000,1,1,00fd0114370253830800,1,1,fe01ff14e80959830400
0,home,62,7.156872,0.196000,-4.116000,1.862000,-1.764000,2.254000,-0.784000,1,2,00fd0118260354830800,1,2,fe01ff18e70859830400
0,home,63,7.190254,0.196000,-4.018000,1.764000,-1.764000,2.254000,-0.686000,1,3,00fd011c270255830800,1,3,fe01ff1ce70959830400
0,home,64,7.223668,0.098000,-4.116000,1.470000,-1.666000,2.352000,-0.784000,1,0,00fd0010160f54830800,1,0,fe01ff10f8085a830400
0,home,65,7.257067,0.294000,-4.018000,1.470000,-1.764000,2.058000,-0.784000,1,1,00fd0014370f54830800,1,1,fe01ff14e5085c830400
0,home,66,7.290493,0.098000,-3.822000,1.862000,-1.764000,2.156000,-0.686000,1,2,00fd0118190353830800,1,2,fe01ff18e6095a830400
0,home,67,7.323909,0.196000,-4.018000,1.666000,-1.666000,2.254000,-0.784000,1,3,00fd011c270155830800,1,3,fe01ff1cf7085a830400
0,home,68,7.357309,0.196000,-3.822000,1.764000,-1.666000,2.254000,-0.686000,1,0,00fd0110290255830800,1,0,fe01ff10f7095a830400
0,home,69,7.390726,0.196000,-4.116000,1.568000,-1.666000,2.254000,-0.686000,1,1,00fd0114260054830800,1,1,fe01ff14f7095b830400
0,home,70,7.424142,0.294000,-3.920000,1.470000,-1.666000,2.450000,-0.882000,1,2,00fd0018380f55830800,1,2,fe01ff18f9075a830400
