trial,sample,elapsed_s,S1_Bx_raw_mT,S1_By_raw_mT,S1_Bz_raw_mT,S2_Bx_raw_mT,S2_By_raw_mT,S2_Bz_raw_mT,S1_Bx_corrected_mT,S1_By_corrected_mT,S1_Bz_corrected_mT,S2_Bx_corrected_mT,S2_By_corrected_mT,S2_Bz_corrected_mT
0,102,11.255171,0.294000,-4.900000,1.960000,-1.568000,2.352000,-0.882000,0.354229,-4.978094,2.003385,-1.649667,2.280031,-0.850099
0,103,11.288591,0.196000,-4.508000,1.862000,-1.372000,2.156000,-0.686000,0.256229,-4.586094,1.905385,-1.453667,2.084031,-0.654099
0,104,11.322033,0.392000,-4.606000,1.960000,-1.568000,2.156000,-0.686000,0.452229,-4.684094,2.003385,-1.649667,2.084031,-0.654099
0,105,11.355520,0.294000,-4.802000,1.568000,-1.470000,2.254000,-0.882000,0.354229,-4.880094,1.611385,-1.551667,2.182031,-0.850099
0,106,11.388984,0.294000,-4.704000,1.862000,-1.470000,2.156000,-0.882000,0.354229,-4.782094,1.905385,-1.551667,2.084031,-0.850099
0,107,11.422419,0.098000,-4.704000,1.862000,-1.470000,2.254000,-0.784000,0.158229,-4.782094,1.905385,-1.551667,2.182031,-0.752099
0,108,11.455841,0.196000,-4.704000,1.960000,-1.372000,2.254000,-0.784000,0.256229,-4.782094,2.003385,-1.453667,2.182031,-0.752099
0,109,11.489235,0.294000,-4.508000,1.862000,-1.470000,2.058000,-0.686000,0.354229,-4.586094,1.905385,-1.551667,1.986031,-0.654099
0,110,11.522632,0.294000,-4.606000,1.764000,-1.470000,2.156000,-0.686000,0.354229,-4.684094,1.807385,-1.551667,2.084031,-0.654099
0,111,11.556022,0.392000,-4.606000,1.862000,-1.372000,2.254000,-0.784000,0.452229,-4.684094,1.905385,-1.453667,2.182031,-0.752099
0,112,11.589409,0.392000,-4.606000,1.862000,-1.568000,2.254000,-0.686000,0.452229,-4.684094,1.905385,-1.649667,2.182031,-0.654099
0,113,11.622819,0.000000,-4.606000,1.862000,-1.372000,2.156000,-0.784000,0.060229,-4.684094,1.905385,-1.453667,2.084031,-0.752099
0,114,11.656260,0.196000,-4.704000,2.156000,-1.666000,2.156000,-0.784000,0.256229,-4.782094,2.199385,-1.747667,2.084031,-0.752099
0,115,11.689661,0.196000,-4.704000,1.960000,-1.470000,2.254000,-0.784000,0.256229,-4.782094,2.003385,-1.551667,2.182031,-0.752099
0,116,11.723089,0.000000,-4.704000,2.058000,-1.372000,2.254000,-0.882000,0.060229,-4.782094,2.101385,-1.453667,2.182031,-0.850099
0,117,11.756484,0.196000,-4.606000,1.960000,-1.372000,2.352000,-0.686000,0.256229,-4.684094,2.003385,-1.453667,2.280031,-0.654099
0,118,11.789864,0.098000,-4.802000,1.862000,-1.372000,2.254000,-0.784000,0.158229,-4.880094,1.905385,-1.453667,2.182031,-0.752099
0,119,11.823255,0.294000,-4.508000,1.960000,-1.372000,2.058000,-0.882000,0.354229,-4.586094,2.003385,-1.453667,1.986031,-0.850099
0,120,11.856650,0.196000,-4.508000,1.960000,-1.372000,2.156000,-0.686000,0.256229,-4.586094,2.003385,-1.453667,2.084031,-0.654099
0,121,11.890029,0.196000,-4.410000,1.764000,-1.372000,2.352000,-0.784000,0.256229,-4.488094,1.807385,-1.453667,2.280031,-0.752099
0,122,11.923422,0.294000,-4.508000,1.862000,-1.470000,2.352000,-0.686000,0.354229,-4.586094,1.905385,-1.551667,2.280031,-0.654099
0,123,11.956810,0.294000,-4.606000,1.764000,-1.372000,2.156000,-0.686000,0.354229,-4.684094,1.807385,-1.453667,2.084031,-0.654099
0,124,11.990262,0.294000,-4.704000,1.960000,-1.470000,2.058000,-0.784000,0.354229,-4.782094,2.003385,-1.551667,1.986031,-0.752099
0,125,12.023705,0.196000,-4.508000,1.764000,-1.372000,2.254000,-0.686000,0.256229,-4.586094,1.807385,-1.453667,2.182031,-0.654099
0,126,12.057106,0.294000,-4.606000,1.764000,-1.470000,2.254000,-0.784000,0.354229,-4.684094,1.807385,-1.551667,2.182031,-0.752099
0,127,12.090491,0.294000,-4.802000,1.862000,-1.470000,1.960000,-0.588000,0.354229,-4.880094,1.905385,-1.551667,1.888031,-0.556099
1,0,25.261070,0.196000,-4.508000,1.666000,-1.568000,2.254000,-0.686000,0.256229,-4.586094,1.709385,-1.649667,2.182031,-0.654099
1,1,25.294564,0.098000,-4.802000,1.764000,-1.470000,2.156000,-0.784000,0.158229,-4.880094,1.807385,-1.551667,2.084031,-0.752099
1,2,25.328080,0.196000,-4.704000,1.862000,-1.568000,2.352000,-0.882000,0.256229,-4.782094,1.905385,-1.649667,2.280031,-0.850099
1,3,25.361493,-0.098000,-4.508000,1.666000,-1.372000,2.254000,-0.784000,-0.037771,-4.586094,1.709385,-1.453667,2.182031,-0.752099
1,4,25.394896,0.294000,-4.606000,1.568000,-1.568000,2.254000,-0.784000,0.354229,-4.684094,1.611385,-1.649667,2.182031,-0.752099
1,5,25.428322,0.196000,-4.410000,1.862000,-1.568000,2.058000,-0.784000,0.256229,-4.488094,1.905385,-1.649667,1.986031,-0.752099
1,6,25.461726,0.000000,-4.410000,1.960000,-1.470000,2.156000,-0.784000,0.060229,-4.488094,2.003385,-1.551667,2.084031,-0.752099
1,7,25.495210,0.196000,-4.606000,1.764000,-1.470000,1.960000,-0.882000,0.256229,-4.684094,1.807385,-1.551667,1.888031,-0.850099
1,8,25.528668,0.294000,-4.508000,1.666000,-1.568000,2.156000,-0.784000,0.354229,-4.586094,1.709385,-1.649667,2.084031,-0.752099
1,9,25.562071,0.196000,-4.606000,1.666000,-1.470000,2.352000,-0.686000,0.256229,-4.684094,1.709385,-1.551667,2.280031,-0.654099
1,10,25.595508,0.294000,-4.508000,1.960000,-1.372000,2.254000,-0.686000,0.354229,-4.586094,2.003385,-1.453667,2.182031,-0.654099
1,11,25.628940,0.294000,-4.508000,1.862000,-1.568000,2.156000,-0.784000,0.354229,-4.586094,1.905385,-1.649667,2.084031,-0.752099
1,12,25.662335,0.196000,-4.508000,1.960000,-1.568000,2.156000,-0.882000,0.256229,-4.586094,2.003385,-1.649667,2.084031,-0.850099
1,13,25.695785,0.294000,-4.606000,1.862000,-1.372000,2.156000,-0.686000,0.354229,-4.684094,1.905385,-1.453667,2.084031,-0.654099
1,14,25.729208,0.196000,-4.410000,2.156000,-1.372000,2.156000,-0.784000,0.256229,-4.488094,2.199385,-1.453667,2.084031,-0.752099
1,15,25.762621,0.098000,-4.704000,1.960000,-1.470000,2.254000,-0.784000,0.158229,-4.782094,2.003385,-1.551667,2.182031,-0.752099
1,16,25.796096,0.196000,-4.704000,1.960000,-1.470000,2.156000,-0.784000,0.256229,-4.782094,2.003385,-1.551667,2.084031,-0.752099
1,17,25.829532,0.196000,-4.606000,1.960000,-1.470000,2.156000,-0.882000,0.256229,-4.684094,2.003385,-1.551667,2.084031,-0.850099
1,18,25.862933,0.196000,-4.606000,1.764000,-1.568000,2.156000,-0.882000,0.256229,-4.684094,1.807385,-1.649667,2.084031,-0.850099
1,19,25.896327,0.098000,-4.704000,1.862000,-1.470000,2.254000,-0.882000,0.158229,-4.782094,1.905385,-1.551667,2.182031,-0.850099
1,20,25.929743,0.294000,-4.704000,1.666000,-1.372000,2.156000,-0.784000,0.354229,-4.782094,1.709385,-1.453667,2.084031,-0.752099
1,21,25.963139,0.098000,-4.802000,1.764000,-1.274000,2.058000,-0.784000,0.158229,-4.880094,1.807385,-1.355667,1.986031,-0.752099
1,22,25.996566,0.294000,-4.704000,1.764000,-1.568000,2.156000,-0.784000,0.354229,-4.782094,1.807385,-1.649667,2.084031,-0.752099
1,23,26.029970,0.392000,-4.410000,1.960000,-1.470000,2.156000,-0.686000,0.452229,-4.488094,2.003385,-1.551667,2.084031,-0.654099
1,24,26.063370,0.294000,-4.802000,1.862000,-1.568000,2.156000,-0.980000,0.354229,-4.880094,1.905385,-1.649667,2.084031,-0.948099
1,25,26.096784,0.000000,-4.508000,1.960000,-1.666000,2.156000,-0.784000,0.060229,-4.586094,2.003385,-1.747667,2.084031,-0.752099
1,26,26.130202,0.098000,-4.802000,1.960000,-1.568000,2.254000,-0.686000,0.158229,-4.880094,2.003385,-1.649667,2.182031,-0.654099
1,27,26.163615,0.196000,-4.508000,2.058000,-1.568000,2.156000,-0.784000,0.256229,-4.586094,2.101385,-1.649667,2.084031,-0.752099
1,28,26.197008,0.294000,-4.410000,1.666000,-1.470000,2.254000,-0.882000,0.354229,-4.488094,1.709385,-1.551667,2.182031,-0.850099
1,29,26.230421,0.294000,-4.606000,1.764000,-1.470000,2.156000,-0.784000,0.354229,-4.684094,1.807385,-1.551667,2.084031,-0.752099
1,30,26.263873,0.196000,-4.606000,1.960000,-1.372000,2.254000,-0.686000,0.256229,-4.684094,2.003385,-1.453667,2.182031,-0.654099
1,31,26.297318,0.196000,-4.704000,1.862000,-1.470000,2.254000,-0.686000,0.256229,-4.782094,1.905385,-1.551667,2.182031,-0.654099
1,32,26.330752,0.294000,-4.606000,2.058000,-1.470000,2.254000,-0.686000,0.354229,-4.684094,2.101385,-1.551667,2.182031,-0.654099
1,33,26.364152,0.196000,-4.606000,1.764000,-1.470000,1.960000,-0.686000,0.256229,-4.684094,1.807385,-1.551667,1.888031,-0.654099
1,34,26.397607,0.294000,-4.606000,1.960000,-1.470000,2.156000,-0.882000,0.354229,-4.684094,2.003385,-1.551667,2.084031,-0.850099
1,35,26.431044,0.098000,-4.508000,1.862000,-1.470000,2.058000,-0.784000,0.158229,-4.586094,1.905385,-1.551667,1.986031,-0.752099
1,36,26.464443,0.098000,-4.802000,1.862000,-1.274000,2.156000,-0.686000,0.158229,-4.880094,1.905385,-1.355667,2.084031,-0.654099
